row_number,video_id,url,video_length_seconds,video_length_minutes,total_segments,word_count,overall_sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
3,6BdwIyt0fVU,https://www.youtube.com/watch?v=6BdwIyt0fVU,862.1,14.4,25,1606,positive,0.186,0.51,0.0,0.0,1.245,0.0,0.0,0.0,4.359,0.0
4,hAdLlG9Rfd4,https://www.youtube.com/watch?v=hAdLlG9Rfd4,22256.0,370.9,661,67225,positive,0.162,0.49,2.127,1.8,0.089,0.045,0.06,0.0,0.491,1.101
7,3FZipnSI_po,https://www.youtube.com/watch?v=3FZipnSI_po,1168.2,19.5,35,3283,neutral,0.085,0.416,0.305,1.828,0.609,0.0,0.0,0.0,0.609,0.0
10,60p9GMKVTIY,https://www.youtube.com/watch?v=60p9GMKVTIY,530.4,8.8,16,1208,positive,0.108,0.417,0.828,0.828,0.828,0.0,0.0,0.0,0.0,0.0
11,qYzoNznetuo,https://www.youtube.com/watch?v=qYzoNznetuo,886.1,14.8,27,3469,positive,0.192,0.549,0.865,0.865,0.0,0.0,0.0,0.0,2.306,0.0
13,ZuRe4M_DVgQ,https://www.youtube.com/watch?v=ZuRe4M_DVgQ,2266.0,37.8,66,5503,positive,0.166,0.547,0.909,0.182,0.909,0.182,0.0,0.0,0.727,0.0
19,H7r4mc1ncjA,https://www.youtube.com/watch?v=H7r4mc1ncjA,526.9,8.8,16,1541,neutral,0.038,0.351,0.649,1.298,0.0,0.0,0.0,0.0,0.0,0.0
21,dxyLvZdojJ4,https://www.youtube.com/watch?v=dxyLvZdojJ4,310.0,5.2,10,795,neutral,0.085,0.411,0.0,0.0,0.0,0.0,0.0,0.0,5.031,0.0
23,7wD4dZwQkl4,https://www.youtube.com/watch?v=7wD4dZwQkl4,329.1,5.5,9,740,neutral,0.012,0.373,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0
25,D4wcq125Y4M,https://www.youtube.com/watch?v=D4wcq125Y4M,599.2,10.0,15,1465,neutral,0.042,0.563,4.096,2.73,0.0,0.0,0.0,0.0,2.048,2.73
33,aoGOpVDQo-w,https://www.youtube.com/watch?v=aoGOpVDQo-w,1828.2,30.5,55,5213,neutral,0.1,0.513,0.575,1.151,0.384,0.0,0.0,0.0,1.535,0.384
40,OrPX8JUPSQk,https://www.youtube.com/watch?v=OrPX8JUPSQk,736.9,12.3,14,114,negative,-0.132,0.215,0.0,8.772,0.0,0.0,0.0,0.0,0.0,0.0
43,suDFTrmcoYg,https://www.youtube.com/watch?v=suDFTrmcoYg,150.5,2.5,5,403,positive,0.249,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,_invBeC8VXw,https://www.youtube.com/watch?v=_invBeC8VXw,2432.0,40.5,71,5314,neutral,0.073,0.417,0.0,1.505,0.0,0.188,0.0,0.0,0.0,0.0
52,zx7JPEP-w5U,https://www.youtube.com/watch?v=zx7JPEP-w5U,526.7,8.8,17,1614,neutral,0.072,0.378,0.0,2.478,0.0,0.0,0.0,0.0,0.0,0.62
56,QyYKoVzUY28,https://www.youtube.com/watch?v=QyYKoVzUY28,1186.2,19.8,36,3118,neutral,0.015,0.384,0.0,0.641,0.0,0.0,0.641,0.0,1.283,0.321
57,VFt4S2hN3Bw,https://www.youtube.com/watch?v=VFt4S2hN3Bw,19540.5,325.7,500,25953,positive,0.112,0.489,0.501,1.387,0.27,0.077,0.077,0.0,0.27,0.231
